Track name,Artist name,Album,Playlist name,Type,ISRC
"DUKI · Justin Quiles · Bizarrap · Gonzalo Julian Conde · Mauro Ezequiel Lombardo - Unfollow","","","Favoritos","Playlist",""
"Eladio Carrion · Eladio Carrión - Sauce Boy Freestyle 5","","","Favoritos","Playlist",""
"JHAYCO - Dile (Homenaje)","","","Favoritos","Playlist",""
"Broken Squad - Lucif3r","","","Favoritos","Playlist",""
"JHAYCO · Anuel AA - Ley Seca","","","Favoritos","Playlist",""
"JHAYCO - Tokyo","","","Favoritos","Playlist",""
"Nicki Nicole · Mora - Toa la Vida","","","Favoritos","Playlist",""
"Bad Bunny - Si Estuviésemos Juntos Juntos","","","Favoritos","Playlist",""
"JHAYCO · Skrillex - En Mi Cuarto","","","Favoritos","Playlist",""
"Sael - Verificada","","","Favoritos","Playlist",""
"Bizarrap · Duki · Nicki Nicole · Gonzalo Julián Conde · Mauro Ezequiel Lombardo · Nicole Denise Cucco - YaMeFui","","","Favoritos","Playlist",""
"Rauw Alejandro - Sexo Virtual","","","Favoritos","Playlist",""
"Walls · Xavibo · Marc Seguí - Haciendo na","","","Favoritos","Playlist",""
"Rauw Alejandro - La Old Skul","","","Favoritos","Playlist",""
"Dejota2021 · Yera - Calor (Remix)","","","Favoritos","Playlist",""
"Nio Garcia · J Balvin · Bad Bunny · Angel M. Diaz Ramirez · Benito Antonio Martinez · Camille Marie Soto Malave · Elvin J. Robert Rodriguez · Hozwal Ortiz Velez · Jose Alvaro Osorio Balvin · Jose Angel Hernandez · Jose Y. Diaz Medina · Luis Quinones · Xavier Areizaga Padilla - AM Remix","","","Favoritos","Playlist",""
"Mora · Gabriel Mora Quintero - Volando","","","Favoritos","Playlist",""
"Brray · Zion - La Depre","","","Favoritos","Playlist",""
"Love Yi · Naes Beats · Víctor García Jiménez · Sergio Rovira Bonilla - M.U.T.E","","","Favoritos","Playlist",""
"Farruko - Pepas","","","Favoritos","Playlist",""
"Eladio Carrion · Bad Bunny · Benito Martinez Ocasio - Kemba Walker","","","Favoritos","Playlist",""
"Cubanbeef · Young Vene - Casualidad","","","Favoritos","Playlist",""
"Bad Bunny · Benito A. Martinez Ocasio · Eladio Carrion - 25/8","","","Favoritos","Playlist",""
"Bad Bunny - Otra Noche en Miami","","","Favoritos","Playlist",""
"Bad Bunny - Tenemos Que Hablar","","","Favoritos","Playlist",""
"Bad Bunny - Como Antes","","","Favoritos","Playlist",""
"Delgao - Reservao","","","Favoritos","Playlist",""
"Love Yi · Recycled J · Naes Beats · Víctor García - De Ti Me Olvido","","","Favoritos","Playlist",""
"Bizarrap · Eladio Carrion · Gonzalo Julian Conde · Eladio Carrion Morales III · Francisco Zecca - Eladio Carrion: Bzrp Music Sessions, Vol. 40/66","","","Favoritos","Playlist",""
"Chema Rivas - Mil Tequilas","","","Favoritos","Playlist",""
"Bad Bunny · Benito A. Martinez Ocasio - A Tu Merced","","","Favoritos","Playlist",""
"Nobeat · KHEA - Medio Crazy","","","Favoritos","Playlist",""
"Yampi · Ozuna · Myke Towers · Jan Carlos Ozuna · Michael Torres · Alexis Gotay · Jose Reyes · Orlando Cepeda - Estamo en Ley","","","Favoritos","Playlist",""
"Bad Bunny · Benito A. Martinez - Yonaguni","","","Favoritos","Playlist",""
"Lunay - TBC","","","Favoritos","Playlist",""
"Morad · Morad El Khattouti El Hormi · Voluptyk · TR Fact · SHB - Qué Pasa?","","","Favoritos","Playlist",""
"Dudi · Bejaa · Cubanbeef - Ahora pregunta por mi","","","Favoritos","Playlist",""
"El Bobe · alPeDue - Ella","","","Favoritos","Playlist",""
"Mora · Gabriel Mora Quintero - Fin del Mundo","","","Favoritos","Playlist",""
